序号,1、您的性别(1-22题为单选题),2、您的专业,3、您所在的年级,4、您的性格,5、您最常通过哪种方式上网？,6、您每周的上网时长大约是多少？,7、您是否使用过学习软件工具？,8、您是在什么时间使用学习软件工具呢？,9、您会将自己的资料传到网上和别人进行分享吗？,10、您是否想获取全国各高校的学习资源？,11、您的老师是否推荐过同学们使用过某种学习软件？,12、若有人工智能学习工具，您是否会选择使用？,13、您是否有通过人工智能学习工具帮助完成作业的想法？,14、您是否有通过人工智能学习工具帮您完成小测验的想法？,15、您是否有通过人工智能学习工具帮助您完成论文的想法？,16、若有人工智能学习工具，影响您使用人工智能学习软件的原因是什么？,17、对于大学生使用人工智能学习工具您是否赞同？,18、若您使用人工智能学习工具最不希望出现以下哪些事？,19、您对人工智能学习工具回答问题的可信度持何种态度？,20、如果您使用人工智能学习工具，更希望得到什么的效果？,21、您觉得人工智能工具在未来是否可以取代教师？,22、当人工智能工具与教育结合到一定程度时，您觉得学生该如何去适应？,23、在网络中您主要进行哪些活动？,24、您认为学习软件与课堂教学相比较最大的优势是什么？,25、进入大学后在学习中困扰您的问题是什么？,26、对于利用学习软件进行学习这种形式，您最关注的是,27、您考虑过使用人工智能工具的哪些安全性？,28、您认为以下哪些方面对人工智能学习工具很重要？,29、您心目中的人工智能学习工具应该具有以下哪些功能？,30、您认为人工智能学习工具融合到哪个学习环节？
393,男,理工类,大二,安静型,用手机上网,7-14小时,是,说不清,大多数时候会,是,没有,是,没考虑过,没考虑过,没考虑过,资源收费,说不清楚,所答问题不精炼,一般,全面提高自身的综合素质,非常可能,固定传统，不接受新的学习方式,浏览新闻┋娱乐游戏┋聊天交友┋资源下载,可以重复学习,学习时间安排不充裕,操作方便,网络安全能力,知识来源的资格审核,性能优越,教师传授
394,女,文法类,大一,感性型,用平板电脑上网,14-20小时,是,说不清,不会,是,推荐过,是,否,否,否,资源收费,赞同,软件响应慢,一般,全面提高自身的综合素质,不清楚,积极利用新的学习方式和工具,学习、查资料,真题全面,学习的相关经验缺乏,学习效果,软件安全级别,知识来源的资格审核,性能优越,教师传授
395,女,经管类,大一,外向型,用手机上网,7小时以下,是,说不清,有时会,否,没有,是,没考虑过,没考虑过,没考虑过,其他,说不清楚,无效回答,一般,完成论文,不清楚,积极利用新的学习方式和工具,浏览新闻┋聊天交友┋其他,真题全面,学习的相关经验缺乏,学习资源,软件安全级别,知识来源的资格审核,性能优越,教师传授
396,女,经管类,大一,外向型,用手机上网,7小时以下,是,说不清,不会,是,没有,是,没考虑过,没考虑过,没考虑过,其他,说不清楚,无效回答,一般,全面提高自身的综合素质,不清楚,积极利用新的学习方式和工具,其他,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,其他
397,女,文法类,大一,安静型,其他,14-20小时,是,考试前使用,大多数时候会,是,推荐过,是,是,是,是,信息杂乱,赞同,软件响应慢,一般,全面提高自身的综合素质,有可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快,其他
398,女,文法类,大二,外向型,用手机上网,20小时以上,是,平时有时间就使用,很少会,是,推荐过,是,是,否,是,资源收费,赞同,无效回答,一般,完成论文,不可能,积极利用新的学习方式和工具,学习、查资料┋娱乐游戏┋聊天交友┋资源下载┋上网购物,可以重复学习┋资料全面,专业疑难问题得不到解决,学习效果┋学习资源,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核,性能优越,教师传授
399,女,文法类,大三,感性型,用手机上网,20小时以上,是,平时有时间就使用,大多数时候会,是,没有,是,没考虑过,没考虑过,没考虑过,资源收费,赞同,无效回答,很高,全面提高自身的综合素质,有可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋娱乐游戏┋聊天交友┋资源下载┋上网购物,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕,学习效果,软件安全级别┋个人信息安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化┋评价反馈
400,女,经管类,大一,安静型,在寝室用笔记本上网,20小时以上,是,平时有时间就使用,完全会,是,推荐过,是,是,是,是,信息杂乱,赞同,软件响应慢,很高,全面提高自身的综合素质,非常可能,积极利用新的学习方式和工具,学习、查资料,真题全面,学习的相关经验缺乏,学习效果,软件安全级别,知识来源的资格审核,知识面广,教师传授
401,女,经管类,大一,其他,用手机上网,7小时以下,是,说不清,不会,是,推荐过,是,没考虑过,否,否,资源收费,不赞同,无效回答,一般,仅帮助自己解决不会的题,不可能,固定传统，不接受新的学习方式,学习、查资料┋资源下载┋上网购物,资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力,是否有定期的审核,运行速度快,教师传授
402,女,文法类,大三,安静型,用手机上网,14-20小时,是,平时有时间就使用,有时会,是,推荐过,是,没考虑过,没考虑过,否,其他,说不清楚,所答问题不精炼,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏┋聊天交友┋资源下载┋上网购物,可以重复学习,专业疑难问题得不到解决,学习效果,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化┋评价反馈┋其他
403,女,文法类,大四,安静型,用手机上网,7小时以下,是,老师要求时才使用,很少会,是,推荐过,否,没考虑过,否,否,资源收费,赞同,无效回答,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋聊天交友,可以重复学习,专业疑难问题得不到解决,学习效果┋学习费用,个人信息安全┋数据安全,知识来源的资格审核┋知识库的更新频率,性能优越┋运行速度快┋不收费,课后消化┋评价反馈
404,女,经管类,大一,外向型,用手机上网,7小时以下,是,说不清,很少会,是,没有,否,没考虑过,没考虑过,没考虑过,其他,说不清楚,无效回答,不相信,全面提高自身的综合素质,非常可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快,教师传授┋课后消化┋评价反馈┋其他
405,男,理工类,大二,安静型,用手机上网,7-14小时,是,老师要求时才使用,有时会,是,推荐过,是,是,是,是,应用繁琐,赞同,无效回答,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋收发邮件┋娱乐游戏┋聊天交友,可以重复学习,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授
406,男,理工类,大一,外向型,在寝室用笔记本上网,7-14小时,是,平时有时间就使用,有时会,是,没有,是,没考虑过,没考虑过,没考虑过,资源收费,赞同,无效回答,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋娱乐游戏┋聊天交友┋上网购物,可以重复学习┋资料全面,学习的相关经验缺乏┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源,网络安全能力┋个人信息安全┋数据安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定,课后消化┋评价反馈
407,男,文法类,大三,其他,在寝室用笔记本上网,7-14小时,是,平时有时间就使用,大多数时候会,是,没有,是,没考虑过,没考虑过,没考虑过,其他,说不清楚,无效回答,不相信,全面提高自身的综合素质,不清楚,积极利用新的学习方式和工具,学习、查资料┋娱乐游戏┋聊天交友,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化┋评价反馈
408,女,文法类,大一,坚定型,用手机上网,7小时以下,是,说不清,有时会,是,推荐过,是,是,否,没考虑过,其他,说不清楚,无效回答,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋娱乐游戏┋聊天交友┋上网购物┋其他,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋学习时间安排不充裕,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化
409,男,理工类,大二,安静型,用手机上网,7小时以下,是,说不清,有时会,是,没有,是,是,没考虑过,没考虑过,资源收费,说不清楚,无效回答,一般,仅帮助自己解决不会的题,不清楚,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏┋聊天交友┋资源下载┋上网购物,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化┋评价反馈
410,男,经管类,大一,外向型,用手机上网,20小时以上,是,说不清,有时会,是,推荐过,是,是,是,是,信息杂乱,赞同,无效回答,一般,全面提高自身的综合素质,有可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏┋聊天交友┋资源下载┋上网购物,可以重复学习,学习的相关经验缺乏┋学习时间安排不充裕,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定,教师传授┋课后消化
411,女,文法类,大一,安静型,其他,7小时以下,是,平时有时间就使用,很少会,是,推荐过,是,否,否,否,其他,说不清楚,无效回答,一般,全面提高自身的综合素质,不可能,积极利用新的学习方式和工具,学习、查资料┋浏览新闻┋收发邮件┋娱乐游戏┋聊天交友┋资源下载┋上网购物┋其他,真题全面┋可以重复学习┋资料全面,学习的相关经验缺乏┋专业疑难问题得不到解决┋学习时间安排不充裕┋不会正确的学习方法,学习效果┋学习资源┋操作方便┋学习费用,软件安全级别┋网络安全能力┋个人信息安全┋数据安全┋运行安全┋服务器安全,知识来源的资格审核┋知识库的更新频率┋是否有定期的审核,性能优越┋知识面广┋运行速度快┋稳定┋不收费,教师传授┋课后消化┋评价反馈
